date;Sustainable development goals;World Bank;Tennessee Titans;Middle Eastern food and drink;air travel;isPartial
2022-01-01;0;33;0;0;34;False
2022-01-02;17;75;6;0;63;False
2022-01-03;12;64;6;0;51;False
2022-01-04;14;69;17;0;54;False
2022-01-05;13;53;14;0;77;False
2022-01-06;18;61;9;0;61;False
2022-01-07;18;39;0;0;63;False
2022-01-08;7;26;8;0;71;False
2022-01-09;12;57;51;0;55;False
2022-01-10;18;45;12;0;97;False
2022-01-11;23;39;9;0;79;False
2022-01-12;18;64;7;0;67;False
2022-01-13;0;52;0;0;100;False
2022-01-14;5;55;0;0;84;False
2022-01-15;0;23;0;0;66;False
2022-01-16;6;39;0;0;72;False
2022-01-17;21;49;0;0;65;False
2022-01-18;19;40;7;0;59;False
2022-01-19;6;43;0;0;74;False
2022-01-20;18;37;11;0;54;False
2022-01-21;13;40;17;0;38;False
2022-01-22;17;38;75;0;53;False
2022-01-23;6;22;37;0;69;False
2022-01-24;20;53;9;0;97;False
2022-01-25;14;51;0;0;49;False
2022-01-26;18;42;0;0;64;False
2022-01-27;12;56;0;0;71;False
2022-01-28;23;54;0;0;49;False
2022-01-29;6;28;0;0;60;False
2022-01-30;14;19;0;0;71;False
2022-01-31;21;55;0;0;82;False
