date;Self-catering;Family holidays;Self-assessment tax;Income tax;air travel;isPartial
2022-01-01;1;32;0;33;7;False
2022-01-02;1;36;1;38;13;False
2022-01-03;0;30;0;48;10;False
2022-01-04;1;20;0;66;11;False
2022-01-05;0;27;2;65;15;False
2022-01-06;2;20;0;66;12;False
2022-01-07;0;18;3;72;13;False
2022-01-08;1;32;1;51;14;False
2022-01-09;2;40;0;48;11;False
2022-01-10;0;28;0;76;19;False
2022-01-11;1;22;0;69;16;False
2022-01-12;1;28;0;64;14;False
2022-01-13;0;22;0;66;20;False
2022-01-14;0;27;1;60;17;False
2022-01-15;0;34;0;39;13;False
2022-01-16;0;37;1;54;14;False
2022-01-17;1;33;0;64;13;False
2022-01-18;0;21;1;65;12;False
2022-01-19;0;14;0;63;15;False
2022-01-20;4;17;1;66;11;False
2022-01-21;0;20;1;62;8;False
2022-01-22;2;28;2;54;11;False
2022-01-23;0;38;0;52;14;False
2022-01-24;2;25;1;88;20;False
2022-01-25;2;19;2;83;10;False
2022-01-26;0;22;2;68;13;False
2022-01-27;3;20;0;71;14;False
2022-01-28;0;21;1;80;10;False
2022-01-29;0;28;1;63;12;False
2022-01-30;1;32;1;71;14;False
2022-01-31;0;22;3;100;17;False
