date;mental health;washington;rome;tokyo sevens 2013;air travel;isPartial
2022-01-01;41;39;28;0;3;False
2022-01-02;52;45;36;0;5;False
2022-01-03;52;38;32;0;4;False
2022-01-04;76;43;28;0;4;False
2022-01-05;68;37;33;0;6;False
2022-01-06;72;37;31;1;5;False
2022-01-07;65;52;30;0;5;False
2022-01-08;44;47;40;1;6;False
2022-01-09;57;44;48;0;5;False
2022-01-10;95;43;37;1;8;False
2022-01-11;89;36;38;0;7;False
2022-01-12;80;37;32;1;6;False
2022-01-13;79;39;38;1;8;False
2022-01-14;69;36;33;0;7;False
2022-01-15;47;49;44;0;6;False
2022-01-16;54;50;50;0;6;False
2022-01-17;87;44;43;0;5;False
2022-01-18;89;36;40;0;5;False
2022-01-19;74;34;35;0;6;False
2022-01-20;75;34;55;1;4;False
2022-01-21;74;43;43;0;3;False
2022-01-22;50;46;48;0;4;False
2022-01-23;62;44;59;0;6;False
2022-01-24;100;54;51;0;8;False
2022-01-25;87;38;45;1;4;False
2022-01-26;85;41;39;0;5;False
2022-01-27;81;40;35;0;6;False
2022-01-28;78;38;39;1;4;False
2022-01-29;42;42;41;0;5;False
2022-01-30;51;40;47;0;6;False
2022-01-31;80;43;42;0;7;False
