date;piers morgan;arsenal;knife crime;travel;air travel;isPartial
2022-01-01;3;87;0;43;0;False
2022-01-02;2;22;0;52;1;False
2022-01-03;2;20;0;55;0;False
2022-01-04;2;22;0;57;0;False
2022-01-05;2;26;0;71;1;False
2022-01-06;2;21;0;64;1;False
2022-01-07;3;24;0;62;1;False
2022-01-08;2;28;0;58;1;False
2022-01-09;3;96;0;59;1;False
2022-01-10;2;23;0;68;1;False
2022-01-11;3;20;0;59;1;False
2022-01-12;3;22;0;70;1;False
2022-01-13;3;93;0;71;1;False
2022-01-14;4;38;0;49;1;False
2022-01-15;3;47;0;55;1;False
2022-01-16;5;32;0;65;1;False
2022-01-17;4;26;0;58;1;False
2022-01-18;3;24;0;56;1;False
2022-01-19;3;28;0;55;1;False
2022-01-20;2;100;0;53;0;False
2022-01-21;2;33;0;48;0;False
2022-01-22;2;25;0;53;0;False
2022-01-23;2;66;0;61;1;False
2022-01-24;3;21;0;70;1;False
2022-01-25;2;19;0;61;0;False
2022-01-26;2;21;0;56;1;False
2022-01-27;2;22;0;58;1;False
2022-01-28;2;24;0;54;0;False
2022-01-29;1;27;0;53;1;False
2022-01-30;3;29;0;47;1;False
2022-01-31;3;51;0;64;1;False
