date;Invasive species;Wimbledon;Laura Robson;Northern lights holidays;air travel;isPartial
2022-01-01;0;39;1;1;3;False
2022-01-02;0;39;0;1;5;False
2022-01-03;0;36;0;1;4;False
2022-01-04;0;37;0;2;4;False
2022-01-05;1;34;0;1;6;False
2022-01-06;0;35;0;1;5;False
2022-01-07;0;36;0;0;5;False
2022-01-08;1;54;0;0;5;False
2022-01-09;1;47;0;1;4;False
2022-01-10;1;42;0;1;7;False
2022-01-11;1;43;0;0;6;False
2022-01-12;0;34;0;0;5;False
2022-01-13;1;40;0;2;7;False
2022-01-14;1;40;0;1;6;False
2022-01-15;0;100;0;2;5;False
2022-01-16;1;55;0;2;5;False
2022-01-17;1;45;0;0;5;False
2022-01-18;0;46;3;2;4;False
2022-01-19;1;34;0;0;6;False
2022-01-20;0;38;1;0;4;False
2022-01-21;0;42;1;0;3;False
2022-01-22;1;52;0;2;4;False
2022-01-23;0;40;0;1;5;False
2022-01-24;1;47;0;2;7;False
2022-01-25;1;46;0;0;4;False
2022-01-26;1;39;0;0;5;False
2022-01-27;1;36;1;1;5;False
2022-01-28;1;50;0;0;4;False
2022-01-29;0;62;1;0;4;False
2022-01-30;0;62;2;0;5;False
2022-01-31;0;44;0;2;6;False
