date;jamaica;bullying;silvio berlusconi;carrie johnson;air travel;isPartial
2022-01-01;78;9;1;1;6;False
2022-01-02;90;11;1;1;11;False
2022-01-03;82;11;1;1;9;False
2022-01-04;80;14;1;0;9;False
2022-01-05;93;14;0;0;14;False
2022-01-06;81;14;0;3;11;False
2022-01-07;81;16;0;2;11;False
2022-01-08;96;12;0;1;13;False
2022-01-09;92;18;4;0;10;False
2022-01-10;84;14;0;6;17;False
2022-01-11;76;18;1;17;14;False
2022-01-12;73;17;3;18;12;False
2022-01-13;87;22;2;11;18;False
2022-01-14;77;19;2;7;15;False
2022-01-15;96;11;2;14;12;False
2022-01-16;91;12;1;24;13;False
2022-01-17;96;18;0;9;11;False
2022-01-18;79;19;1;5;10;False
2022-01-19;74;19;1;4;13;False
2022-01-20;72;17;3;5;9;False
2022-01-21;85;17;1;4;7;False
2022-01-22;81;13;2;6;9;False
2022-01-23;90;16;1;11;12;False
2022-01-24;100;25;0;11;17;False
2022-01-25;86;22;0;10;9;False
2022-01-26;82;19;0;13;11;False
2022-01-27;74;23;0;3;13;False
2022-01-28;85;16;0;5;9;False
2022-01-29;79;15;0;7;11;False
2022-01-30;86;13;0;7;13;False
2022-01-31;83;17;0;15;15;False
