date;British empire;Vincent van Gogh;Ed Miliband;Energy research;air travel;isPartial
2022-01-01;100;8;6;0;23;False
2022-01-02;36;7;0;6;42;False
2022-01-03;22;17;0;0;34;False
2022-01-04;41;8;5;13;36;False
2022-01-05;23;21;0;6;51;False
2022-01-06;35;25;4;0;41;False
2022-01-07;28;13;4;3;42;False
2022-01-08;20;55;0;0;48;False
2022-01-09;31;17;9;0;37;False
2022-01-10;29;48;4;4;65;False
2022-01-11;36;23;23;0;53;False
2022-01-12;36;21;10;3;45;False
2022-01-13;27;24;0;0;67;False
2022-01-14;28;17;9;8;56;False
2022-01-15;32;20;11;0;44;False
2022-01-16;31;18;0;0;48;False
2022-01-17;22;23;0;0;43;False
2022-01-18;38;9;5;0;39;False
2022-01-19;15;17;4;0;50;False
2022-01-20;38;13;6;0;36;False
2022-01-21;23;19;12;0;25;False
2022-01-22;11;15;0;0;36;False
2022-01-23;27;14;0;6;46;False
2022-01-24;39;14;0;13;65;False
2022-01-25;29;10;4;0;33;False
2022-01-26;30;9;4;0;43;False
2022-01-27;30;16;12;4;48;False
2022-01-28;27;19;0;9;33;False
2022-01-29;29;13;0;0;40;False
2022-01-30;20;20;0;4;48;False
2022-01-31;19;12;5;0;55;False
