date;Secret Service;Micronesia;Luton Town;Harrogate Town;air travel;isPartial
2022-01-01;9;2;18;6;10;False
2022-01-02;12;2;22;8;19;False
2022-01-03;11;1;16;7;16;False
2022-01-04;9;0;12;19;17;False
2022-01-05;34;0;14;4;24;False
2022-01-06;8;0;16;9;19;False
2022-01-07;13;0;21;8;20;False
2022-01-08;7;0;28;12;22;False
2022-01-09;6;2;86;47;17;False
2022-01-10;19;2;24;4;30;False
2022-01-11;30;5;14;9;24;False
2022-01-12;12;1;19;4;21;False
2022-01-13;11;0;23;4;31;False
2022-01-14;9;0;13;4;26;False
2022-01-15;14;2;100;22;20;False
2022-01-16;16;4;23;0;22;False
2022-01-17;7;0;21;4;20;False
2022-01-18;7;0;21;6;18;False
2022-01-19;10;3;56;5;23;False
2022-01-20;1;0;23;3;17;False
2022-01-21;9;0;19;7;12;False
2022-01-22;14;4;58;20;16;False
2022-01-23;10;3;20;5;21;False
2022-01-24;10;0;23;6;30;False
2022-01-25;8;0;65;13;15;False
2022-01-26;8;0;26;4;20;False
2022-01-27;7;3;24;6;22;False
2022-01-28;11;0;26;7;15;False
2022-01-29;8;0;82;14;19;False
2022-01-30;6;0;20;4;22;False
2022-01-31;8;0;42;6;26;False
