date;Xbox series S/X;Xbox One;PlayStation 4;PC;air travel;isPartial
2022-01-01;0;33;5;98;1;False
2022-01-02;0;32;5;99;2;False
2022-01-03;0;28;5;96;2;False
2022-01-04;0;25;4;95;2;False
2022-01-05;0;22;3;88;3;False
2022-01-06;0;21;3;84;2;False
2022-01-07;0;23;4;84;2;False
2022-01-08;0;31;4;96;3;False
2022-01-09;0;29;4;91;2;False
2022-01-10;0;21;3;86;4;False
2022-01-11;0;18;3;80;3;False
2022-01-12;0;18;2;82;3;False
2022-01-13;0;22;4;89;4;False
2022-01-14;0;21;4;79;3;False
2022-01-15;0;28;4;100;2;False
2022-01-16;0;24;4;98;3;False
2022-01-17;0;17;3;82;2;False
2022-01-18;0;16;2;75;2;False
2022-01-19;0;16;3;71;3;False
2022-01-20;0;17;3;73;2;False
2022-01-21;0;19;3;75;1;False
2022-01-22;0;24;3;89;2;False
2022-01-23;0;25;3;90;3;False
2022-01-24;0;20;3;87;4;False
2022-01-25;0;18;3;75;2;False
2022-01-26;0;15;2;77;2;False
2022-01-27;0;16;2;73;3;False
2022-01-28;0;17;2;79;2;False
2022-01-29;0;25;4;86;2;False
2022-01-30;0;22;3;82;3;False
2022-01-31;0;17;2;80;3;False
