date;Heathrow airport;CES;British identity and society;Kylian Mbappé;air travel;isPartial
2022-01-01;57;19;0;2;12;False
2022-01-02;79;16;0;0;23;False
2022-01-03;83;30;0;0;19;False
2022-01-04;71;63;0;0;20;False
2022-01-05;61;79;0;3;28;False
2022-01-06;59;60;0;0;22;False
2022-01-07;67;48;0;0;23;False
2022-01-08;61;33;0;0;26;False
2022-01-09;71;24;0;3;20;False
2022-01-10;72;29;0;4;35;False
2022-01-11;64;27;0;0;29;False
2022-01-12;70;13;0;2;25;False
2022-01-13;60;18;0;5;36;False
2022-01-14;58;14;0;4;31;False
2022-01-15;75;11;0;2;24;False
2022-01-16;100;12;0;0;26;False
2022-01-17;69;16;0;0;24;False
2022-01-18;64;19;0;0;22;False
2022-01-19;63;13;0;0;27;False
2022-01-20;61;8;0;0;20;False
2022-01-21;66;11;0;0;14;False
2022-01-22;65;8;0;2;19;False
2022-01-23;70;7;0;10;25;False
2022-01-24;85;20;0;0;35;False
2022-01-25;69;12;0;0;18;False
2022-01-26;64;9;0;0;23;False
2022-01-27;65;11;0;0;26;False
2022-01-28;61;16;0;2;18;False
2022-01-29;79;7;0;0;22;False
2022-01-30;69;3;0;0;26;False
2022-01-31;74;12;0;5;30;False
