date;Spa breaks;Morocco;The Shape of Water;Pan's Labyrinth (El Laberinto del Fauno);air travel;isPartial
2022-01-01;11;16;0;0;3;False
2022-01-02;15;18;2;0;5;False
2022-01-03;11;14;1;0;4;False
2022-01-04;16;14;1;0;4;False
2022-01-05;14;22;0;0;6;False
2022-01-06;9;21;1;0;5;False
2022-01-07;11;16;0;0;5;False
2022-01-08;13;20;1;0;6;False
2022-01-09;16;25;0;0;4;False
2022-01-10;15;50;0;0;8;False
2022-01-11;14;21;0;0;6;False
2022-01-12;14;19;1;0;5;False
2022-01-13;15;18;1;0;8;False
2022-01-14;12;26;0;0;7;False
2022-01-15;14;22;1;0;5;False
2022-01-16;19;21;0;0;6;False
2022-01-17;13;18;0;0;5;False
2022-01-18;12;29;1;0;5;False
2022-01-19;12;21;0;0;6;False
2022-01-20;11;20;0;0;4;False
2022-01-21;10;17;1;0;3;False
2022-01-22;12;21;2;0;4;False
2022-01-23;14;27;1;0;6;False
2022-01-24;13;27;3;0;8;False
2022-01-25;13;45;1;0;4;False
2022-01-26;9;24;0;0;5;False
2022-01-27;8;21;1;0;6;False
2022-01-28;10;21;0;0;4;False
2022-01-29;14;26;1;0;5;False
2022-01-30;12;100;0;0;6;False
2022-01-31;10;30;0;0;7;False
