date;disney;star wars;bafta;marvel;air travel;isPartial
2022-01-01;92;27;1;46;1;False
2022-01-02;87;27;1;47;2;False
2022-01-03;74;23;1;42;1;False
2022-01-04;62;23;1;38;1;False
2022-01-05;58;25;1;34;2;False
2022-01-06;57;23;1;31;2;False
2022-01-07;62;22;1;32;2;False
2022-01-08;79;28;1;43;2;False
2022-01-09;79;27;0;39;1;False
2022-01-10;59;21;1;30;3;False
2022-01-11;56;19;0;28;2;False
2022-01-12;63;24;2;38;2;False
2022-01-13;62;22;1;42;3;False
2022-01-14;60;20;1;39;2;False
2022-01-15;83;26;1;52;2;False
2022-01-16;84;26;1;53;2;False
2022-01-17;57;20;1;34;2;False
2022-01-18;55;20;0;33;2;False
2022-01-19;52;18;0;38;2;False
2022-01-20;54;24;0;32;1;False
2022-01-21;62;24;1;34;1;False
2022-01-22;80;26;1;41;1;False
2022-01-23;100;29;1;42;2;False
2022-01-24;64;22;1;33;3;False
2022-01-25;53;21;0;26;1;False
2022-01-26;59;25;1;25;2;False
2022-01-27;56;22;1;23;2;False
2022-01-28;65;25;1;26;1;False
2022-01-29;79;27;1;33;2;False
2022-01-30;73;25;1;29;2;False
2022-01-31;57;22;1;22;2;False
