date;Gambling;Mental health;Dominic Cummings;West Indies cricket team;air travel;isPartial
2022-01-01;10;41;0;0;3;False
2022-01-02;10;52;1;1;5;False
2022-01-03;11;52;1;0;4;False
2022-01-04;12;76;1;0;4;False
2022-01-05;11;68;0;1;6;False
2022-01-06;6;72;1;0;5;False
2022-01-07;7;65;3;0;5;False
2022-01-08;9;44;3;0;6;False
2022-01-09;6;57;0;0;5;False
2022-01-10;9;95;5;0;8;False
2022-01-11;8;89;7;0;7;False
2022-01-12;8;80;17;0;6;False
2022-01-13;10;79;13;0;8;False
2022-01-14;10;69;15;0;7;False
2022-01-15;10;47;7;0;6;False
2022-01-16;6;54;9;0;6;False
2022-01-17;10;87;19;0;5;False
2022-01-18;11;89;36;0;5;False
2022-01-19;8;74;13;0;6;False
2022-01-20;9;75;5;1;4;False
2022-01-21;8;74;4;0;3;False
2022-01-22;11;50;5;1;4;False
2022-01-23;8;62;3;0;6;False
2022-01-24;14;100;16;0;8;False
2022-01-25;9;87;7;0;4;False
2022-01-26;14;85;7;1;5;False
2022-01-27;12;81;4;0;6;False
2022-01-28;10;78;4;0;4;False
2022-01-29;8;42;4;0;5;False
2022-01-30;9;51;7;0;6;False
2022-01-31;11;80;16;0;7;False
