date;Sexual health;Snow;US weather;Spike Milligan;air travel;isPartial
2022-01-01;4;82;1;0;2;False
2022-01-02;4;88;1;0;3;False
2022-01-03;7;76;1;1;2;False
2022-01-04;10;91;2;0;2;False
2022-01-05;10;88;1;0;4;False
2022-01-06;9;94;1;0;3;False
2022-01-07;8;96;2;0;3;False
2022-01-08;4;82;1;1;3;False
2022-01-09;4;73;1;1;3;False
2022-01-10;11;59;1;1;4;False
2022-01-11;10;53;1;0;4;False
2022-01-12;8;59;1;1;3;False
2022-01-13;8;56;1;1;5;False
2022-01-14;6;67;0;0;4;False
2022-01-15;5;82;1;1;3;False
2022-01-16;5;100;1;0;3;False
2022-01-17;10;73;3;0;3;False
2022-01-18;8;69;1;0;3;False
2022-01-19;8;68;1;0;3;False
2022-01-20;8;62;1;0;2;False
2022-01-21;8;67;1;1;2;False
2022-01-22;3;70;1;0;2;False
2022-01-23;4;82;1;1;3;False
2022-01-24;12;87;1;1;4;False
2022-01-25;8;86;1;1;2;False
2022-01-26;9;86;1;1;3;False
2022-01-27;9;72;0;1;3;False
2022-01-28;7;74;1;1;2;False
2022-01-29;4;74;2;1;3;False
2022-01-30;4;78;2;0;3;False
2022-01-31;9;57;1;1;4;False
