date;hong kong;cathay pacific;tesla;banking;air travel;isPartial
2022-01-01;13;0;24;48;1;False
2022-01-02;13;1;30;53;2;False
2022-01-03;13;1;43;65;2;False
2022-01-04;12;1;43;90;2;False
2022-01-05;16;0;34;79;3;False
2022-01-06;12;1;36;81;2;False
2022-01-07;12;0;39;83;2;False
2022-01-08;14;1;32;58;2;False
2022-01-09;14;0;28;55;2;False
2022-01-10;13;0;34;85;3;False
2022-01-11;13;0;32;74;3;False
2022-01-12;13;1;30;76;2;False
2022-01-13;12;0;34;84;3;False
2022-01-14;12;1;35;77;3;False
2022-01-15;13;0;30;58;2;False
2022-01-16;11;1;29;60;2;False
2022-01-17;11;0;32;82;2;False
2022-01-18;14;1;31;75;2;False
2022-01-19;11;1;28;72;3;False
2022-01-20;12;0;29;74;2;False
2022-01-21;14;0;31;78;1;False
2022-01-22;14;0;27;58;2;False
2022-01-23;13;1;28;51;2;False
2022-01-24;13;0;45;85;3;False
2022-01-25;12;0;36;73;2;False
2022-01-26;12;0;39;79;2;False
2022-01-27;11;0;40;81;2;False
2022-01-28;13;0;42;93;2;False
2022-01-29;18;0;28;64;2;False
2022-01-30;10;1;27;59;2;False
2022-01-31;12;1;32;100;3;False
