date;Lake District;Burger King;Canoeing and kayaking holidays;Jofra Archer;air travel;isPartial
2022-01-01;84;65;0;0;5;False
2022-01-02;94;57;0;1;9;False
2022-01-03;100;40;0;0;7;False
2022-01-04;77;36;0;2;8;False
2022-01-05;79;37;0;1;11;False
2022-01-06;66;37;0;4;9;False
2022-01-07;62;43;0;0;9;False
2022-01-08;79;55;0;0;10;False
2022-01-09;94;47;0;1;8;False
2022-01-10;83;30;0;1;14;False
2022-01-11;65;32;0;0;11;False
2022-01-12;62;33;0;1;10;False
2022-01-13;71;36;0;0;14;False
2022-01-14;55;41;0;0;12;False
2022-01-15;76;58;0;0;9;False
2022-01-16;92;54;0;2;10;False
2022-01-17;66;29;0;1;9;False
2022-01-18;68;36;0;1;8;False
2022-01-19;51;31;0;0;11;False
2022-01-20;52;33;0;2;8;False
2022-01-21;55;39;0;1;5;False
2022-01-22;64;48;0;3;8;False
2022-01-23;91;46;0;0;10;False
2022-01-24;77;33;0;0;14;False
2022-01-25;55;35;0;0;7;False
2022-01-26;53;32;0;1;9;False
2022-01-27;59;33;0;0;10;False
2022-01-28;51;47;0;1;7;False
2022-01-29;61;53;0;1;9;False
2022-01-30;74;41;0;1;10;False
2022-01-31;60;32;0;0;12;False
