date;Lancashire holidays;SSE;Arkansas;University of Exeter;air travel;isPartial
2022-01-01;0;30;4;0;5;False
2022-01-02;0;34;5;4;9;False
2022-01-03;0;44;4;2;7;False
2022-01-04;0;83;3;3;8;False
2022-01-05;1;76;4;4;11;False
2022-01-06;1;72;3;7;9;False
2022-01-07;0;71;3;4;9;False
2022-01-08;1;50;4;3;10;False
2022-01-09;1;41;4;4;8;False
2022-01-10;0;83;2;6;14;False
2022-01-11;0;78;5;4;11;False
2022-01-12;0;78;0;6;10;False
2022-01-13;1;86;5;8;14;False
2022-01-14;0;75;3;4;12;False
2022-01-15;0;47;2;4;9;False
2022-01-16;0;47;3;5;10;False
2022-01-17;0;80;3;5;9;False
2022-01-18;1;74;3;6;8;False
2022-01-19;1;66;4;5;11;False
2022-01-20;0;65;2;5;8;False
2022-01-21;0;71;1;4;5;False
2022-01-22;0;45;4;3;8;False
2022-01-23;0;39;3;4;10;False
2022-01-24;1;92;3;9;14;False
2022-01-25;0;70;3;3;7;False
2022-01-26;0;70;4;4;9;False
2022-01-27;0;70;3;5;10;False
2022-01-28;1;90;4;5;7;False
2022-01-29;0;89;6;2;9;False
2022-01-30;0;63;3;4;10;False
2022-01-31;0;100;4;4;12;False
