date;Nursing;Croatia;Chechnya;Māori;air travel;isPartial
2022-01-01;45;23;1;0;3;False
2022-01-02;63;25;0;0;6;False
2022-01-03;70;31;0;0;5;False
2022-01-04;82;24;1;0;5;False
2022-01-05;89;30;3;1;8;False
2022-01-06;84;26;0;0;6;False
2022-01-07;75;26;1;0;6;False
2022-01-08;68;38;1;0;7;False
2022-01-09;62;44;1;0;6;False
2022-01-10;95;36;2;1;10;False
2022-01-11;90;36;0;0;8;False
2022-01-12;89;29;1;0;7;False
2022-01-13;97;34;1;0;10;False
2022-01-14;71;53;1;0;8;False
2022-01-15;62;51;1;0;7;False
2022-01-16;70;71;1;0;7;False
2022-01-17;84;54;0;0;7;False
2022-01-18;88;37;0;0;6;False
2022-01-19;81;35;1;0;8;False
2022-01-20;83;31;0;0;5;False
2022-01-21;75;34;0;0;4;False
2022-01-22;64;37;1;0;5;False
2022-01-23;68;48;2;0;7;False
2022-01-24;100;50;15;0;10;False
2022-01-25;81;37;7;0;5;False
2022-01-26;88;36;2;0;6;False
2022-01-27;75;33;1;0;7;False
2022-01-28;74;33;1;0;5;False
2022-01-29;58;40;1;0;6;False
2022-01-30;53;42;2;2;7;False
2022-01-31;81;36;1;0;8;False
