date;tunisia;queen elizabeth ii;the marrow study: keeping bones healthy in space;tsunamis;air travel;isPartial
2022-01-01;8;3;0;1;5;False
2022-01-02;9;2;0;0;10;False
2022-01-03;11;5;0;0;8;False
2022-01-04;12;2;0;0;8;False
2022-01-05;11;1;0;4;12;False
2022-01-06;18;4;0;0;9;False
2022-01-07;11;1;0;3;10;False
2022-01-08;12;2;0;0;11;False
2022-01-09;21;3;0;1;8;False
2022-01-10;14;5;0;1;15;False
2022-01-11;13;4;0;0;12;False
2022-01-12;62;4;0;1;10;False
2022-01-13;30;2;0;3;15;False
2022-01-14;16;7;0;2;13;False
2022-01-15;19;5;0;3;10;False
2022-01-16;23;3;0;9;11;False
2022-01-17;20;3;0;3;10;False
2022-01-18;13;2;0;2;9;False
2022-01-19;12;2;0;3;11;False
2022-01-20;33;2;0;2;8;False
2022-01-21;15;4;0;2;6;False
2022-01-22;13;4;0;1;8;False
2022-01-23;100;4;0;0;11;False
2022-01-24;32;5;0;2;15;False
2022-01-25;19;3;0;1;8;False
2022-01-26;14;3;0;1;10;False
2022-01-27;17;1;0;1;11;False
2022-01-28;16;2;0;0;8;False
2022-01-29;46;2;0;0;9;False
2022-01-30;22;4;0;1;11;False
2022-01-31;15;2;0;2;13;False
