date;Eric Gill;Bob Geldof;Duchy of Cornwall;Chicago;air travel;isPartial
2022-01-01;1;2;0;70;4;False
2022-01-02;0;1;0;82;7;False
2022-01-03;0;0;0;72;6;False
2022-01-04;0;1;1;65;6;False
2022-01-05;1;1;1;69;9;False
2022-01-06;0;0;0;63;7;False
2022-01-07;1;1;1;66;7;False
2022-01-08;0;2;1;81;8;False
2022-01-09;0;1;0;82;6;False
2022-01-10;0;1;1;70;11;False
2022-01-11;0;0;1;64;9;False
2022-01-12;64;0;1;62;8;False
2022-01-13;85;0;0;74;11;False
2022-01-14;14;1;1;68;9;False
2022-01-15;14;2;0;88;7;False
2022-01-16;15;1;0;100;8;False
2022-01-17;13;1;1;71;7;False
2022-01-18;2;1;0;64;7;False
2022-01-19;1;0;0;64;8;False
2022-01-20;3;2;0;67;6;False
2022-01-21;3;1;0;72;4;False
2022-01-22;1;1;0;82;6;False
2022-01-23;5;1;0;73;8;False
2022-01-24;5;1;1;72;11;False
2022-01-25;2;0;0;67;6;False
2022-01-26;3;1;0;62;7;False
2022-01-27;3;1;1;68;8;False
2022-01-28;0;6;0;66;6;False
2022-01-29;2;3;0;92;7;False
2022-01-30;1;1;1;77;8;False
2022-01-31;0;0;1;60;9;False
