date;Michaelia Cash;The Power of the Dog;Succession;Squid Game;air travel;isPartial
2022-01-01;0;39;79;63;6;False
2022-01-02;0;37;90;48;11;False
2022-01-03;0;27;79;44;9;False
2022-01-04;0;17;83;36;10;False
2022-01-05;0;13;72;32;14;False
2022-01-06;0;11;58;32;11;False
2022-01-07;0;21;71;35;11;False
2022-01-08;0;27;78;39;13;False
2022-01-09;2;22;95;41;10;False
2022-01-10;2;67;100;36;17;False
2022-01-11;0;23;62;25;14;False
2022-01-12;0;16;62;31;12;False
2022-01-13;0;16;68;27;18;False
2022-01-14;0;23;53;26;15;False
2022-01-15;0;45;75;32;12;False
2022-01-16;0;26;71;38;13;False
2022-01-17;0;15;50;26;11;False
2022-01-18;0;11;52;19;10;False
2022-01-19;2;10;44;19;13;False
2022-01-20;0;11;49;21;10;False
2022-01-21;3;15;45;26;7;False
2022-01-22;0;36;54;33;9;False
2022-01-23;1;25;50;32;12;False
2022-01-24;2;14;49;25;17;False
2022-01-25;2;13;43;19;9;False
2022-01-26;0;13;47;19;11;False
2022-01-27;1;8;38;18;13;False
2022-01-28;0;13;38;22;9;False
2022-01-29;0;28;38;30;11;False
2022-01-30;0;20;42;28;13;False
2022-01-31;0;10;34;24;15;False
