date;house prices;ocean rescue;amazon;lord of the rings;air travel;isPartial
2022-01-01;3;0;81;2;0;False
2022-01-02;3;0;90;2;0;False
2022-01-03;3;0;95;2;0;False
2022-01-04;3;0;90;1;0;False
2022-01-05;3;0;89;1;0;False
2022-01-06;3;0;84;1;0;False
2022-01-07;3;0;82;2;0;False
2022-01-08;3;0;100;2;0;False
2022-01-09;3;0;91;2;0;False
2022-01-10;3;0;91;2;0;False
2022-01-11;3;0;81;1;0;False
2022-01-12;3;0;79;1;0;False
2022-01-13;3;0;91;1;0;False
2022-01-14;2;0;77;1;0;False
2022-01-15;3;0;93;2;0;False
2022-01-16;3;0;98;2;0;False
2022-01-17;3;0;89;1;0;False
2022-01-18;3;0;81;1;0;False
2022-01-19;3;0;75;2;0;False
2022-01-20;3;0;76;2;0;False
2022-01-21;3;0;79;2;0;False
2022-01-22;3;0;88;2;0;False
2022-01-23;3;0;86;2;0;False
2022-01-24;3;0;90;1;0;False
2022-01-25;3;0;77;1;0;False
2022-01-26;3;0;82;1;0;False
2022-01-27;3;0;83;1;0;False
2022-01-28;3;0;81;1;0;False
2022-01-29;3;0;90;2;0;False
2022-01-30;3;0;84;2;0;False
2022-01-31;3;0;80;1;0;False
