date;Sustainability;Shopping;Vintage fashion;Dating;air travel;isPartial
2022-01-01;2;99;0;56;2;False
2022-01-02;4;100;0;61;4;False
2022-01-03;5;95;0;54;3;False
2022-01-04;9;81;0;46;3;False
2022-01-05;10;75;0;44;4;False
2022-01-06;9;76;2;43;3;False
2022-01-07;10;77;0;46;4;False
2022-01-08;4;92;0;54;4;False
2022-01-09;5;79;0;56;3;False
2022-01-10;12;74;0;47;5;False
2022-01-11;13;62;0;45;4;False
2022-01-12;12;70;1;48;4;False
2022-01-13;11;76;0;43;6;False
2022-01-14;10;72;0;41;5;False
2022-01-15;5;91;1;51;4;False
2022-01-16;7;81;1;62;4;False
2022-01-17;14;73;1;54;4;False
2022-01-18;12;69;0;55;3;False
2022-01-19;11;64;0;52;4;False
2022-01-20;12;67;0;51;3;False
2022-01-21;10;73;0;49;2;False
2022-01-22;4;85;1;54;3;False
2022-01-23;6;75;0;58;4;False
2022-01-24;15;80;0;56;5;False
2022-01-25;14;64;1;46;3;False
2022-01-26;13;70;0;51;4;False
2022-01-27;12;67;0;49;4;False
2022-01-28;10;80;0;47;3;False
2022-01-29;5;93;0;52;3;False
2022-01-30;6;81;0;54;4;False
2022-01-31;14;71;0;54;5;False
