date;premier league;beijing;olympics;ryanair;air travel;isPartial
2022-01-01;87;1;2;4;0;False
2022-01-02;85;1;3;5;0;False
2022-01-03;48;1;1;6;0;False
2022-01-04;19;1;2;11;0;False
2022-01-05;15;0;2;6;0;False
2022-01-06;11;0;1;7;0;False
2022-01-07;13;1;2;6;0;False
2022-01-08;19;1;2;6;0;False
2022-01-09;17;1;3;6;0;False
2022-01-10;13;1;2;7;1;False
2022-01-11;15;1;1;7;0;False
2022-01-12;19;0;1;6;0;False
2022-01-13;19;1;2;7;1;False
2022-01-14;22;1;2;6;1;False
2022-01-15;92;1;2;6;0;False
2022-01-16;62;1;3;8;0;False
2022-01-17;20;1;2;6;0;False
2022-01-18;25;1;3;6;0;False
2022-01-19;40;1;2;6;0;False
2022-01-20;27;1;2;6;0;False
2022-01-21;29;1;2;6;0;False
2022-01-22;100;1;3;6;0;False
2022-01-23;79;1;4;7;0;False
2022-01-24;23;1;3;8;1;False
2022-01-25;13;1;3;7;0;False
2022-01-26;13;1;3;7;0;False
2022-01-27;10;1;2;7;0;False
2022-01-28;12;1;4;6;0;False
2022-01-29;25;1;3;6;0;False
2022-01-30;14;1;4;8;0;False
2022-01-31;12;1;3;8;1;False
