date;Sunday with…;Radio comedy;Jason Manford;Radio;air travel;isPartial
2022-01-01;0;0;1;74;0;False
2022-01-02;0;0;0;71;1;False
2022-01-03;0;0;0;66;1;False
2022-01-04;0;0;0;80;2;False
2022-01-05;0;0;0;77;2;False
2022-01-06;0;0;0;71;1;False
2022-01-07;0;0;1;93;1;False
2022-01-08;0;0;0;78;2;False
2022-01-09;0;0;0;73;1;False
2022-01-10;0;0;0;84;2;False
2022-01-11;0;0;0;89;2;False
2022-01-12;0;0;0;83;2;False
2022-01-13;0;0;1;82;2;False
2022-01-14;0;0;1;85;2;False
2022-01-15;0;1;2;74;1;False
2022-01-16;0;0;1;75;2;False
2022-01-17;0;0;0;78;1;False
2022-01-18;0;0;0;80;1;False
2022-01-19;0;0;0;88;2;False
2022-01-20;0;0;1;78;1;False
2022-01-21;0;0;1;97;1;False
2022-01-22;0;0;1;79;1;False
2022-01-23;0;0;1;76;2;False
2022-01-24;0;0;1;85;2;False
2022-01-25;0;0;0;78;1;False
2022-01-26;0;0;1;81;1;False
2022-01-27;0;0;1;85;1;False
2022-01-28;0;0;2;100;1;False
2022-01-29;0;0;9;80;1;False
2022-01-30;0;0;3;73;2;False
2022-01-31;0;0;1;94;2;False
