date;Damien Hirst;Virgil Abloh;Miles Davis;Novichok poisonings;air travel;isPartial
2022-01-01;15;19;0;9;34;False
2022-01-02;11;49;21;0;63;False
2022-01-03;7;19;7;8;51;False
2022-01-04;10;9;19;0;54;False
2022-01-05;0;11;7;0;77;False
2022-01-06;27;0;10;0;61;False
2022-01-07;16;8;6;0;63;False
2022-01-08;21;11;14;0;71;False
2022-01-09;24;17;0;0;55;False
2022-01-10;16;0;7;0;97;False
2022-01-11;30;0;9;0;79;False
2022-01-12;0;8;13;13;67;False
2022-01-13;12;12;0;0;100;False
2022-01-14;14;5;0;0;84;False
2022-01-15;29;11;10;0;66;False
2022-01-16;17;0;11;0;72;False
2022-01-17;17;10;14;0;65;False
2022-01-18;26;0;5;8;59;False
2022-01-19;12;7;9;0;74;False
2022-01-20;18;26;15;0;54;False
2022-01-21;30;30;15;0;38;False
2022-01-22;22;5;8;0;53;False
2022-01-23;19;23;20;0;69;False
2022-01-24;39;20;15;0;97;False
2022-01-25;14;17;17;0;49;False
2022-01-26;27;20;5;0;64;False
2022-01-27;13;0;14;5;71;False
2022-01-28;24;0;12;0;49;False
2022-01-29;28;8;19;0;60;False
2022-01-30;68;14;5;0;71;False
2022-01-31;30;11;0;0;82;False
