date;vodafone;danny dyer;eastenders;new hampshire;air travel;isPartial
2022-01-01;54;3;100;5;2;False
2022-01-02;58;3;55;3;4;False
2022-01-03;61;2;63;3;3;False
2022-01-04;86;2;59;3;4;False
2022-01-05;85;2;44;3;5;False
2022-01-06;68;2;53;3;4;False
2022-01-07;81;3;74;2;4;False
2022-01-08;61;9;53;2;5;False
2022-01-09;59;51;77;1;4;False
2022-01-10;90;9;58;3;6;False
2022-01-11;82;7;64;1;5;False
2022-01-12;75;6;41;2;4;False
2022-01-13;74;4;55;1;7;False
2022-01-14;68;5;59;2;6;False
2022-01-15;64;9;46;1;4;False
2022-01-16;59;6;41;1;5;False
2022-01-17;78;2;48;1;4;False
2022-01-18;77;4;46;2;4;False
2022-01-19;61;3;28;1;5;False
2022-01-20;76;2;38;0;4;False
2022-01-21;72;2;100;1;3;False
2022-01-22;60;9;59;3;4;False
2022-01-23;63;3;41;2;5;False
2022-01-24;90;2;50;3;6;False
2022-01-25;81;2;41;1;3;False
2022-01-26;76;1;31;1;4;False
2022-01-27;74;1;38;2;5;False
2022-01-28;80;3;46;2;3;False
2022-01-29;63;4;49;2;4;False
2022-01-30;53;2;45;2;5;False
2022-01-31;85;2;60;3;5;False
