date;Financial sector;Cottages;Summer holidays;Short breaks;air travel;isPartial
2022-01-01;0;84;3;3;2;False
2022-01-02;0;87;6;3;3;False
2022-01-03;0;84;5;4;3;False
2022-01-04;0;74;3;3;3;False
2022-01-05;0;68;4;4;4;False
2022-01-06;0;69;4;3;3;False
2022-01-07;0;71;4;4;3;False
2022-01-08;0;85;5;4;4;False
2022-01-09;0;96;4;7;3;False
2022-01-10;0;83;5;5;5;False
2022-01-11;0;78;5;5;4;False
2022-01-12;0;66;5;4;4;False
2022-01-13;0;67;4;4;5;False
2022-01-14;0;69;3;4;5;False
2022-01-15;0;84;4;6;4;False
2022-01-16;0;100;7;6;4;False
2022-01-17;0;76;6;4;4;False
2022-01-18;1;72;4;5;3;False
2022-01-19;1;62;4;5;4;False
2022-01-20;0;62;3;4;3;False
2022-01-21;0;64;4;4;2;False
2022-01-22;0;76;4;4;3;False
2022-01-23;0;86;5;5;4;False
2022-01-24;1;74;5;4;5;False
2022-01-25;1;66;5;3;3;False
2022-01-26;0;54;4;3;3;False
2022-01-27;0;58;2;4;4;False
2022-01-28;0;63;4;4;3;False
2022-01-29;0;77;4;5;3;False
2022-01-30;0;77;4;3;4;False
2022-01-31;0;64;3;3;5;False
