date;environment;met office;apartheid;desmond tutu;air travel;isPartial
2022-01-01;7;68;2;28;1;False
2022-01-02;10;84;1;7;3;False
2022-01-03;10;62;0;3;2;False
2022-01-04;17;84;1;2;2;False
2022-01-05;18;81;1;2;3;False
2022-01-06;17;100;0;1;3;False
2022-01-07;16;85;1;2;3;False
2022-01-08;7;68;0;1;3;False
2022-01-09;12;43;1;1;2;False
2022-01-10;23;49;0;1;4;False
2022-01-11;20;41;1;1;3;False
2022-01-12;22;43;1;0;3;False
2022-01-13;23;42;2;1;4;False
2022-01-14;17;57;0;0;4;False
2022-01-15;10;57;1;0;3;False
2022-01-16;14;64;1;0;3;False
2022-01-17;23;44;1;1;3;False
2022-01-18;21;42;1;1;3;False
2022-01-19;19;51;1;0;3;False
2022-01-20;20;39;1;0;2;False
2022-01-21;17;48;1;1;2;False
2022-01-22;10;38;1;0;2;False
2022-01-23;14;45;1;1;3;False
2022-01-24;26;45;1;1;4;False
2022-01-25;22;48;1;0;2;False
2022-01-26;24;50;1;0;3;False
2022-01-27;22;50;1;1;3;False
2022-01-28;17;69;1;0;2;False
2022-01-29;11;79;0;0;3;False
2022-01-30;13;65;1;0;3;False
2022-01-31;21;52;2;0;4;False
