date;Judi Dench;Eels;Paralympics;Idles;air travel;isPartial
2022-01-01;38;10;4;5;11;False
2022-01-02;100;8;6;7;20;False
2022-01-03;24;9;0;2;16;False
2022-01-04;8;17;6;9;17;False
2022-01-05;6;6;0;8;25;False
2022-01-06;8;10;5;9;20;False
2022-01-07;11;6;4;14;20;False
2022-01-08;21;10;0;16;23;False
2022-01-09;12;5;6;11;18;False
2022-01-10;4;7;7;15;31;False
2022-01-11;3;9;2;17;25;False
2022-01-12;6;6;0;12;22;False
2022-01-13;4;9;6;12;32;False
2022-01-14;9;8;4;13;27;False
2022-01-15;10;10;3;11;21;False
2022-01-16;7;14;0;24;23;False
2022-01-17;4;6;0;32;21;False
2022-01-18;5;7;7;20;19;False
2022-01-19;57;8;4;19;24;False
2022-01-20;48;7;7;20;17;False
2022-01-21;24;8;0;13;12;False
2022-01-22;19;10;2;24;17;False
2022-01-23;19;7;5;15;22;False
2022-01-24;9;9;2;15;31;False
2022-01-25;15;11;0;10;16;False
2022-01-26;12;5;5;10;20;False
2022-01-27;13;8;3;8;23;False
2022-01-28;13;10;4;23;16;False
2022-01-29;26;10;7;25;19;False
2022-01-30;16;10;6;17;23;False
2022-01-31;12;8;6;15;27;False
