date;Liverpool;Fulham;Transfer window;Football;air travel;isPartial
2022-01-01;28;1;1;81;0;False
2022-01-02;66;1;0;87;0;False
2022-01-03;27;1;0;53;0;False
2022-01-04;31;1;0;40;0;False
2022-01-05;26;2;0;44;0;False
2022-01-06;27;1;0;33;0;False
2022-01-07;27;2;0;43;0;False
2022-01-08;31;3;0;95;0;False
2022-01-09;64;2;0;83;0;False
2022-01-10;29;2;0;53;0;False
2022-01-11;25;3;0;46;0;False
2022-01-12;28;2;0;53;0;False
2022-01-13;69;2;0;52;0;False
2022-01-14;33;2;0;41;0;False
2022-01-15;32;5;0;100;0;False
2022-01-16;57;2;0;78;0;False
2022-01-17;27;2;0;44;0;False
2022-01-18;25;4;0;53;0;False
2022-01-19;27;3;0;55;0;False
2022-01-20;58;2;0;46;0;False
2022-01-21;31;2;0;46;0;False
2022-01-22;29;4;0;96;0;False
2022-01-23;47;2;0;84;0;False
2022-01-24;29;2;0;45;0;False
2022-01-25;23;2;0;44;0;False
2022-01-26;26;2;0;43;0;False
2022-01-27;24;2;0;35;0;False
2022-01-28;30;2;0;37;0;False
2022-01-29;34;7;0;84;0;False
2022-01-30;29;3;1;59;0;False
2022-01-31;32;3;2;47;0;False
