date;Getafe;Vancouver Canucks;Seattle Kraken;William Hill;air travel;isPartial
2022-01-01;1;0;0;84;2;False
2022-01-02;12;0;0;78;4;False
2022-01-03;1;0;0;59;3;False
2022-01-04;0;0;0;64;3;False
2022-01-05;1;0;0;63;5;False
2022-01-06;0;0;0;59;4;False
2022-01-07;0;1;0;76;4;False
2022-01-08;1;0;0;85;4;False
2022-01-09;2;0;0;72;3;False
2022-01-10;0;0;0;61;6;False
2022-01-11;0;1;0;64;5;False
2022-01-12;0;0;0;59;4;False
2022-01-13;0;0;0;72;6;False
2022-01-14;0;0;0;64;5;False
2022-01-15;0;0;0;92;4;False
2022-01-16;0;0;0;82;4;False
2022-01-17;0;0;1;59;4;False
2022-01-18;0;0;0;67;4;False
2022-01-19;0;0;0;65;4;False
2022-01-20;3;0;0;65;3;False
2022-01-21;1;0;0;72;2;False
2022-01-22;0;0;0;95;3;False
2022-01-23;2;0;0;66;4;False
2022-01-24;0;0;0;69;6;False
2022-01-25;1;0;0;62;3;False
2022-01-26;0;0;0;66;4;False
2022-01-27;1;0;1;65;4;False
2022-01-28;0;0;0;72;3;False
2022-01-29;1;0;0;100;4;False
2022-01-30;0;0;0;70;4;False
2022-01-31;0;0;1;68;5;False
