date;BBC Symphony Orchestra;Hertha Berlin;Bundesliga;Bayern Munich;air travel;isPartial
2022-01-01;1;0;21;12;8;False
2022-01-02;0;0;28;17;15;False
2022-01-03;0;3;21;12;12;False
2022-01-04;0;1;15;11;13;False
2022-01-05;0;0;21;11;19;False
2022-01-06;4;0;21;15;15;False
2022-01-07;0;0;47;98;15;False
2022-01-08;1;0;96;47;17;False
2022-01-09;0;7;62;16;13;False
2022-01-10;1;2;29;16;24;False
2022-01-11;0;0;21;11;19;False
2022-01-12;3;0;16;7;16;False
2022-01-13;1;0;20;11;24;False
2022-01-14;0;2;36;16;20;False
2022-01-15;0;0;100;52;16;False
2022-01-16;0;1;61;21;18;False
2022-01-17;0;1;28;9;16;False
2022-01-18;2;1;27;12;14;False
2022-01-19;1;3;25;11;18;False
2022-01-20;0;2;16;10;13;False
2022-01-21;2;0;40;15;9;False
2022-01-22;2;4;72;18;13;False
2022-01-23;0;5;58;53;17;False
2022-01-24;0;0;20;20;24;False
2022-01-25;1;0;17;9;12;False
2022-01-26;0;2;16;11;15;False
2022-01-27;1;0;15;12;17;False
2022-01-28;0;3;16;11;12;False
2022-01-29;1;0;20;9;15;False
2022-01-30;0;0;11;4;17;False
2022-01-31;0;0;13;8;20;False
