date;Blackburn;Oregon;Roberto Martínez;Rafael Benítez;air travel;isPartial
2022-01-01;49;5;0;0;2;False
2022-01-02;73;5;0;0;4;False
2022-01-03;45;4;0;0;3;False
2022-01-04;43;4;0;0;3;False
2022-01-05;45;4;1;0;5;False
2022-01-06;41;3;1;0;4;False
2022-01-07;45;4;0;0;4;False
2022-01-08;58;5;0;1;4;False
2022-01-09;45;5;0;0;3;False
2022-01-10;43;5;0;0;6;False
2022-01-11;42;5;0;0;5;False
2022-01-12;42;4;0;0;4;False
2022-01-13;45;5;0;0;6;False
2022-01-14;46;4;0;0;5;False
2022-01-15;70;5;0;0;4;False
2022-01-16;53;5;0;1;4;False
2022-01-17;55;3;0;0;4;False
2022-01-18;49;3;0;0;3;False
2022-01-19;61;4;0;0;4;False
2022-01-20;40;4;0;0;3;False
2022-01-21;43;4;0;1;2;False
2022-01-22;55;4;0;0;3;False
2022-01-23;43;4;0;0;4;False
2022-01-24;100;5;1;0;6;False
2022-01-25;54;4;0;0;3;False
2022-01-26;48;3;0;0;4;False
2022-01-27;44;4;0;0;4;False
2022-01-28;52;8;0;0;3;False
2022-01-29;73;4;0;0;4;False
2022-01-30;43;4;0;0;4;False
2022-01-31;56;3;0;0;5;False
