date;space;stock markets;theatre;france;air travel;isPartial
2022-01-01;45;0;51;43;1;False
2022-01-02;49;0;55;51;2;False
2022-01-03;48;0;50;51;1;False
2022-01-04;51;0;52;66;1;False
2022-01-05;54;0;51;73;2;False
2022-01-06;50;0;50;62;2;False
2022-01-07;50;0;56;55;2;False
2022-01-08;52;0;62;56;2;False
2022-01-09;53;0;56;59;1;False
2022-01-10;53;1;56;62;2;False
2022-01-11;53;0;55;60;2;False
2022-01-12;48;0;51;95;2;False
2022-01-13;53;0;58;100;2;False
2022-01-14;46;0;54;58;2;False
2022-01-15;50;1;66;60;2;False
2022-01-16;53;0;64;66;2;False
2022-01-17;50;0;55;58;2;False
2022-01-18;48;1;51;51;1;False
2022-01-19;44;0;50;52;2;False
2022-01-20;46;0;56;52;1;False
2022-01-21;46;1;60;48;1;False
2022-01-22;44;0;66;50;1;False
2022-01-23;46;0;63;59;2;False
2022-01-24;56;1;60;68;2;False
2022-01-25;49;1;51;51;1;False
2022-01-26;45;0;57;51;2;False
2022-01-27;47;1;54;50;2;False
2022-01-28;48;0;64;52;1;False
2022-01-29;51;0;87;51;1;False
2022-01-30;46;0;63;54;2;False
2022-01-31;49;0;57;53;2;False
