date;Gal Gadot;Internet safety;Barristers;International Olympic Committee;air travel;isPartial
2022-01-01;60;0;6;0;17;False
2022-01-02;32;3;8;0;32;False
2022-01-03;22;5;8;4;26;False
2022-01-04;26;4;17;3;28;False
2022-01-05;100;6;13;0;40;False
2022-01-06;36;10;15;0;31;False
2022-01-07;34;6;15;0;33;False
2022-01-08;43;5;9;0;37;False
2022-01-09;23;13;6;3;28;False
2022-01-10;22;9;27;0;50;False
2022-01-11;29;15;20;4;40;False
2022-01-12;17;3;10;0;35;False
2022-01-13;26;5;13;0;51;False
2022-01-14;19;8;6;0;43;False
2022-01-15;26;0;8;0;34;False
2022-01-16;21;0;9;3;37;False
2022-01-17;23;11;20;0;33;False
2022-01-18;40;6;11;0;30;False
2022-01-19;19;7;14;0;38;False
2022-01-20;16;6;8;0;28;False
2022-01-21;12;11;11;0;20;False
2022-01-22;21;5;8;0;27;False
2022-01-23;14;7;12;0;35;False
2022-01-24;35;8;16;0;50;False
2022-01-25;18;13;14;0;25;False
2022-01-26;25;11;15;0;33;False
2022-01-27;9;7;16;0;37;False
2022-01-28;11;7;15;0;25;False
2022-01-29;31;0;10;0;31;False
2022-01-30;30;3;11;0;37;False
2022-01-31;16;9;15;8;42;False
