date;University administration;Higher education policy;Gene editing;Science policy;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;0;10;11;0;63;False
2022-01-03;0;0;0;0;51;False
2022-01-04;10;0;0;0;54;False
2022-01-05;0;0;0;0;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;5;0;0;5;63;False
2022-01-08;6;0;0;0;71;False
2022-01-09;5;11;0;0;55;False
2022-01-10;6;6;15;0;97;False
2022-01-11;0;5;6;4;79;False
2022-01-12;4;9;6;5;67;False
2022-01-13;12;0;0;18;100;False
2022-01-14;0;0;0;0;84;False
2022-01-15;0;0;12;0;66;False
2022-01-16;0;0;10;6;72;False
2022-01-17;10;0;6;8;65;False
2022-01-18;9;0;0;0;59;False
2022-01-19;0;0;0;9;74;False
2022-01-20;14;0;10;0;54;False
2022-01-21;6;0;0;4;38;False
2022-01-22;0;0;9;0;53;False
2022-01-23;5;0;6;12;69;False
2022-01-24;0;0;0;13;97;False
2022-01-25;0;0;7;0;49;False
2022-01-26;10;0;0;0;64;False
2022-01-27;16;6;7;0;71;False
2022-01-28;0;0;0;0;49;False
2022-01-29;0;0;0;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;5;9;0;82;False
