date;Plymouth;Cabaret;Eddie Redmayne;Martin Luther King;air travel;isPartial
2022-01-01;68;4;2;1;2;False
2022-01-02;70;4;1;2;3;False
2022-01-03;73;3;1;2;3;False
2022-01-04;78;4;1;2;3;False
2022-01-05;76;4;1;3;4;False
2022-01-06;71;4;1;2;3;False
2022-01-07;78;5;1;2;3;False
2022-01-08;100;7;2;1;4;False
2022-01-09;88;6;3;2;3;False
2022-01-10;83;5;1;2;5;False
2022-01-11;76;4;2;4;4;False
2022-01-12;74;5;2;4;4;False
2022-01-13;84;3;1;5;5;False
2022-01-14;72;4;2;5;4;False
2022-01-15;93;6;2;4;3;False
2022-01-16;72;4;2;7;4;False
2022-01-17;80;3;2;24;3;False
2022-01-18;71;4;2;12;3;False
2022-01-19;66;3;1;4;4;False
2022-01-20;75;5;1;6;3;False
2022-01-21;75;5;2;6;2;False
2022-01-22;82;6;1;4;3;False
2022-01-23;68;5;1;4;4;False
2022-01-24;80;5;1;4;5;False
2022-01-25;72;4;1;3;3;False
2022-01-26;73;4;1;2;3;False
2022-01-27;69;3;1;2;4;False
2022-01-28;74;4;1;2;3;False
2022-01-29;90;4;2;2;3;False
2022-01-30;68;7;0;1;4;False
2022-01-31;76;5;0;2;4;False
