date;Rudolf Nureyev;Patrick Vallance;Natural History Museum;Museums;air travel;isPartial
2022-01-01;0;35;94;48;16;False
2022-01-02;0;3;100;72;30;False
2022-01-03;6;4;83;60;24;False
2022-01-04;0;20;57;34;26;False
2022-01-05;0;4;64;50;36;False
2022-01-06;0;0;61;47;29;False
2022-01-07;2;0;69;60;30;False
2022-01-08;2;0;91;71;34;False
2022-01-09;8;0;96;62;26;False
2022-01-10;0;0;50;48;46;False
2022-01-11;0;3;50;55;37;False
2022-01-12;0;5;50;55;32;False
2022-01-13;0;4;73;60;47;False
2022-01-14;0;4;55;39;40;False
2022-01-15;0;0;91;66;31;False
2022-01-16;3;0;97;50;34;False
2022-01-17;0;0;56;59;31;False
2022-01-18;0;0;42;51;28;False
2022-01-19;0;0;49;62;35;False
2022-01-20;2;0;45;51;26;False
2022-01-21;2;0;47;66;18;False
2022-01-22;0;0;81;76;25;False
2022-01-23;3;2;71;72;33;False
2022-01-24;0;0;70;68;46;False
2022-01-25;3;0;44;54;23;False
2022-01-26;0;0;48;42;30;False
2022-01-27;0;2;50;48;34;False
2022-01-28;0;0;62;71;23;False
2022-01-29;0;0;80;66;28;False
2022-01-30;0;0;75;77;34;False
2022-01-31;0;0;49;61;39;False
