date;Bolton Wanderers;Sunderland;Worcester;Northampton;air travel;isPartial
2022-01-01;8;49;46;51;1;False
2022-01-02;3;50;44;57;4;False
2022-01-03;2;51;49;49;2;False
2022-01-04;8;54;56;56;3;False
2022-01-05;4;53;49;51;4;False
2022-01-06;2;49;50;45;3;False
2022-01-07;2;55;54;49;4;False
2022-01-08;4;89;50;57;3;False
2022-01-09;3;50;52;49;3;False
2022-01-10;4;59;54;54;4;False
2022-01-11;9;85;57;49;3;False
2022-01-12;4;63;53;52;4;False
2022-01-13;3;49;52;51;4;False
2022-01-14;3;51;51;52;4;False
2022-01-15;11;75;52;54;4;False
2022-01-16;5;54;47;54;4;False
2022-01-17;3;57;51;50;3;False
2022-01-18;4;52;49;46;3;False
2022-01-19;2;47;45;46;4;False
2022-01-20;4;52;53;48;2;False
2022-01-21;4;60;50;54;2;False
2022-01-22;9;86;48;51;3;False
2022-01-23;4;52;49;42;4;False
2022-01-24;3;60;58;56;4;False
2022-01-25;3;54;50;42;3;False
2022-01-26;3;50;49;47;3;False
2022-01-27;4;51;49;44;3;False
2022-01-28;5;59;54;55;3;False
2022-01-29;20;100;57;60;2;False
2022-01-30;8;92;43;48;4;False
2022-01-31;9;97;49;48;4;False
