date;Barry Bennell;Golden Globes;3D;South Carolina;air travel;isPartial
2022-01-01;0;1;89;3;3;False
2022-01-02;0;1;89;2;6;False
2022-01-03;0;2;88;4;5;False
2022-01-04;0;2;85;2;5;False
2022-01-05;1;4;85;2;7;False
2022-01-06;1;2;84;2;6;False
2022-01-07;0;2;81;2;6;False
2022-01-08;0;3;90;3;7;False
2022-01-09;0;15;89;2;5;False
2022-01-10;8;87;93;2;9;False
2022-01-11;1;20;92;2;8;False
2022-01-12;0;9;86;1;6;False
2022-01-13;0;5;94;0;10;False
2022-01-14;0;4;83;1;8;False
2022-01-15;0;7;92;1;6;False
2022-01-16;2;5;95;1;7;False
2022-01-17;0;4;95;2;6;False
2022-01-18;0;2;89;2;6;False
2022-01-19;0;5;77;2;7;False
2022-01-20;2;2;81;2;5;False
2022-01-21;0;3;85;1;4;False
2022-01-22;0;3;83;3;5;False
2022-01-23;1;2;84;3;7;False
2022-01-24;0;3;97;2;9;False
2022-01-25;1;2;100;2;5;False
2022-01-26;0;2;81;3;6;False
2022-01-27;0;0;81;2;7;False
2022-01-28;1;2;81;3;5;False
2022-01-29;1;1;92;3;6;False
2022-01-30;1;1;84;2;7;False
2022-01-31;0;1;81;3;8;False
