date;Atlanta Falcons;New Orleans Saints;Stella Creasy;Peter Hain;air travel;isPartial
2022-01-01;0;6;0;6;34;False
2022-01-02;11;13;0;0;63;False
2022-01-03;6;13;0;0;51;False
2022-01-04;7;7;7;0;54;False
2022-01-05;0;10;6;20;77;False
2022-01-06;0;0;21;0;61;False
2022-01-07;5;11;6;8;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;13;16;0;0;55;False
2022-01-10;5;12;0;0;97;False
2022-01-11;5;0;0;0;79;False
2022-01-12;8;0;7;0;67;False
2022-01-13;9;0;0;0;100;False
2022-01-14;0;6;0;6;84;False
2022-01-15;0;8;0;24;66;False
2022-01-16;13;6;8;0;72;False
2022-01-17;5;0;0;0;65;False
2022-01-18;0;0;0;0;59;False
2022-01-19;13;0;0;0;74;False
2022-01-20;6;0;0;0;54;False
2022-01-21;9;13;0;0;38;False
2022-01-22;0;0;0;10;53;False
2022-01-23;5;8;7;0;69;False
2022-01-24;5;0;0;8;97;False
2022-01-25;5;12;4;7;49;False
2022-01-26;8;19;0;0;64;False
2022-01-27;0;0;0;0;71;False
2022-01-28;0;15;0;7;49;False
2022-01-29;0;10;0;0;60;False
2022-01-30;0;11;0;14;71;False
2022-01-31;6;17;10;0;82;False
