date;Jason Bateman;Arrested Development;Parks and green spaces;Yorkshire;air travel;isPartial
2022-01-01;0;0;0;80;1;False
2022-01-02;0;1;0;84;2;False
2022-01-03;1;1;0;75;2;False
2022-01-04;0;1;0;71;2;False
2022-01-05;0;1;0;67;3;False
2022-01-06;1;1;0;65;2;False
2022-01-07;0;1;0;69;2;False
2022-01-08;0;1;0;69;2;False
2022-01-09;0;1;0;99;2;False
2022-01-10;0;0;0;70;3;False
2022-01-11;0;1;0;68;3;False
2022-01-12;1;1;0;62;2;False
2022-01-13;1;1;0;75;3;False
2022-01-14;1;1;0;62;3;False
2022-01-15;1;1;0;69;2;False
2022-01-16;1;1;0;100;3;False
2022-01-17;1;1;0;67;2;False
2022-01-18;0;1;0;60;2;False
2022-01-19;0;1;0;54;3;False
2022-01-20;1;0;0;60;2;False
2022-01-21;2;1;0;60;1;False
2022-01-22;2;0;0;61;2;False
2022-01-23;2;1;0;90;2;False
2022-01-24;7;1;0;72;3;False
2022-01-25;2;1;0;59;2;False
2022-01-26;2;1;0;60;2;False
2022-01-27;2;1;0;61;2;False
2022-01-28;2;1;0;61;2;False
2022-01-29;2;0;0;66;2;False
2022-01-30;2;1;0;82;2;False
2022-01-31;1;1;0;64;3;False
