date;Robert Jenrick;Steve Bannon;Robert De Niro;Denver Broncos;air travel;isPartial
2022-01-01;0;0;63;15;34;False
2022-01-02;8;0;60;30;63;False
2022-01-03;0;0;47;0;51;False
2022-01-04;0;0;41;6;54;False
2022-01-05;0;0;22;6;77;False
2022-01-06;11;8;46;0;61;False
2022-01-07;16;0;35;0;63;False
2022-01-08;0;0;67;19;71;False
2022-01-09;0;0;43;25;55;False
2022-01-10;13;8;30;7;97;False
2022-01-11;0;7;52;12;79;False
2022-01-12;0;15;36;8;67;False
2022-01-13;0;0;35;17;100;False
2022-01-14;0;0;38;19;84;False
2022-01-15;0;0;59;14;66;False
2022-01-16;8;7;22;13;72;False
2022-01-17;0;8;35;4;65;False
2022-01-18;0;0;5;0;59;False
2022-01-19;0;0;20;10;74;False
2022-01-20;0;0;25;12;54;False
2022-01-21;0;0;53;18;38;False
2022-01-22;0;0;51;0;53;False
2022-01-23;0;0;44;16;69;False
2022-01-24;4;0;19;9;97;False
2022-01-25;0;5;21;7;49;False
2022-01-26;0;0;25;7;64;False
2022-01-27;11;0;37;12;71;False
2022-01-28;0;0;52;13;49;False
2022-01-29;11;0;50;7;60;False
2022-01-30;0;0;45;22;71;False
2022-01-31;11;0;42;7;82;False
