date;birmingham;cinema;surrey;depression;air travel;isPartial
2022-01-01;75;73;14;8;1;False
2022-01-02;82;90;14;9;1;False
2022-01-03;80;64;16;9;1;False
2022-01-04;83;55;18;9;1;False
2022-01-05;76;44;17;9;1;False
2022-01-06;80;42;16;9;1;False
2022-01-07;79;55;15;9;1;False
2022-01-08;94;86;15;8;1;False
2022-01-09;85;52;15;9;1;False
2022-01-10;88;43;18;11;2;False
2022-01-11;83;41;19;10;1;False
2022-01-12;83;39;17;10;1;False
2022-01-13;80;47;18;9;2;False
2022-01-14;78;57;14;8;2;False
2022-01-15;91;97;16;8;1;False
2022-01-16;82;62;16;8;1;False
2022-01-17;78;41;17;9;1;False
2022-01-18;87;39;19;9;1;False
2022-01-19;75;37;15;9;1;False
2022-01-20;79;44;16;9;1;False
2022-01-21;84;57;16;9;1;False
2022-01-22;95;89;15;8;1;False
2022-01-23;85;68;16;9;1;False
2022-01-24;99;47;19;11;2;False
2022-01-25;86;40;17;9;1;False
2022-01-26;81;43;16;9;1;False
2022-01-27;80;42;15;9;1;False
2022-01-28;92;69;16;8;1;False
2022-01-29;89;99;15;7;1;False
2022-01-30;100;65;14;9;1;False
2022-01-31;92;44;17;9;1;False
