date;Peter Hall;Centrica;Helen Mirren;Maureen Lipman;air travel;isPartial
2022-01-01;0;6;100;9;17;False
2022-01-02;4;14;50;0;32;False
2022-01-03;14;18;28;14;26;False
2022-01-04;0;62;17;12;28;False
2022-01-05;0;58;39;21;40;False
2022-01-06;7;56;44;39;32;False
2022-01-07;2;69;19;22;33;False
2022-01-08;6;14;37;13;37;False
2022-01-09;10;10;31;0;28;False
2022-01-10;8;55;20;7;50;False
2022-01-11;5;59;12;6;41;False
2022-01-12;8;73;23;0;35;False
2022-01-13;5;52;10;5;52;False
2022-01-14;6;45;13;0;43;False
2022-01-15;6;13;38;0;34;False
2022-01-16;4;16;22;0;37;False
2022-01-17;4;67;8;9;34;False
2022-01-18;6;48;16;0;30;False
2022-01-19;0;54;9;2;38;False
2022-01-20;0;52;9;5;28;False
2022-01-21;8;43;13;0;20;False
2022-01-22;4;11;23;11;27;False
2022-01-23;9;15;23;5;36;False
2022-01-24;8;56;13;0;50;False
2022-01-25;7;50;10;2;25;False
2022-01-26;5;44;12;12;33;False
2022-01-27;4;42;10;4;37;False
2022-01-28;11;46;9;5;26;False
2022-01-29;7;11;17;5;31;False
2022-01-30;0;17;14;0;37;False
2022-01-31;7;59;16;15;43;False
