date;Queen;Independent News & Media;Independent on Sunday;Newspaper formats;air travel;isPartial
2022-01-01;66;0;0;0;1;False
2022-01-02;100;0;0;0;2;False
2022-01-03;62;0;0;0;1;False
2022-01-04;49;0;0;0;1;False
2022-01-05;47;0;0;0;2;False
2022-01-06;46;0;0;0;1;False
2022-01-07;50;0;0;0;2;False
2022-01-08;53;0;0;0;2;False
2022-01-09;50;0;0;0;1;False
2022-01-10;68;0;0;0;2;False
2022-01-11;49;0;0;0;2;False
2022-01-12;48;0;0;0;2;False
2022-01-13;58;0;0;0;2;False
2022-01-14;57;0;0;0;2;False
2022-01-15;56;0;0;1;2;False
2022-01-16;57;0;0;0;2;False
2022-01-17;50;0;0;0;2;False
2022-01-18;46;0;0;0;1;False
2022-01-19;42;0;0;0;2;False
2022-01-20;41;0;0;0;1;False
2022-01-21;46;0;0;0;1;False
2022-01-22;53;0;0;0;1;False
2022-01-23;47;0;0;0;2;False
2022-01-24;50;0;0;0;2;False
2022-01-25;43;0;0;0;1;False
2022-01-26;42;0;0;0;2;False
2022-01-27;40;0;0;0;2;False
2022-01-28;47;0;0;0;1;False
2022-01-29;50;0;0;0;1;False
2022-01-30;47;0;0;0;2;False
2022-01-31;46;0;0;0;2;False
