date;Alabama;Donald Trump;US elections 2020;US elections 2024;air travel;isPartial
2022-01-01;81;66;0;0;16;False
2022-01-02;55;55;0;3;30;False
2022-01-03;39;61;0;0;24;False
2022-01-04;34;75;3;0;25;False
2022-01-05;39;60;0;2;36;False
2022-01-06;34;93;3;0;29;False
2022-01-07;44;75;0;0;30;False
2022-01-08;52;55;0;5;34;False
2022-01-09;49;58;0;13;26;False
2022-01-10;64;38;0;0;46;False
2022-01-11;100;52;0;7;37;False
2022-01-12;40;69;0;0;32;False
2022-01-13;48;63;0;0;47;False
2022-01-14;29;58;0;0;40;False
2022-01-15;45;47;0;0;31;False
2022-01-16;42;61;0;0;34;False
2022-01-17;47;49;0;2;31;False
2022-01-18;29;63;0;2;28;False
2022-01-19;36;52;0;0;35;False
2022-01-20;47;43;0;0;25;False
2022-01-21;49;58;0;0;18;False
2022-01-22;40;61;0;3;25;False
2022-01-23;41;65;0;0;32;False
2022-01-24;46;80;0;0;46;False
2022-01-25;39;48;3;0;23;False
2022-01-26;25;51;0;0;30;False
2022-01-27;44;44;0;0;34;False
2022-01-28;43;64;0;0;23;False
2022-01-29;63;66;0;0;28;False
2022-01-30;54;40;0;0;34;False
2022-01-31;53;48;0;0;39;False
