date;Music books;Shirley Collins;Art;Ceramics;air travel;isPartial
2022-01-01;0;0;64;2;1;False
2022-01-02;0;0;75;2;2;False
2022-01-03;0;0;77;2;1;False
2022-01-04;1;0;74;2;1;False
2022-01-05;1;0;70;2;2;False
2022-01-06;1;0;68;2;2;False
2022-01-07;0;0;72;2;2;False
2022-01-08;0;0;76;2;2;False
2022-01-09;1;0;85;2;1;False
2022-01-10;0;0;84;3;3;False
2022-01-11;1;0;79;2;2;False
2022-01-12;0;0;74;2;2;False
2022-01-13;1;0;76;2;2;False
2022-01-14;0;0;65;2;2;False
2022-01-15;0;0;73;2;2;False
2022-01-16;0;0;88;2;2;False
2022-01-17;0;0;74;2;1;False
2022-01-18;0;0;71;2;2;False
2022-01-19;0;0;65;2;2;False
2022-01-20;0;0;69;2;1;False
2022-01-21;0;0;71;1;1;False
2022-01-22;0;0;78;2;1;False
2022-01-23;1;0;95;3;2;False
2022-01-24;0;0;100;3;2;False
2022-01-25;1;0;89;2;1;False
2022-01-26;1;0;71;2;2;False
2022-01-27;0;0;74;2;1;False
2022-01-28;0;0;72;2;1;False
2022-01-29;1;0;90;2;1;False
2022-01-30;1;0;83;2;2;False
2022-01-31;1;0;75;2;2;False
