date;delhi;air pollution;streaming;green economy;air travel;isPartial
2022-01-01;16;1;83;0;4;False
2022-01-02;16;1;81;0;7;False
2022-01-03;16;2;66;0;5;False
2022-01-04;13;3;59;0;6;False
2022-01-05;17;2;52;0;8;False
2022-01-06;14;4;50;1;6;False
2022-01-07;14;2;53;0;7;False
2022-01-08;16;0;83;0;8;False
2022-01-09;14;2;79;1;6;False
2022-01-10;12;2;54;0;10;False
2022-01-11;13;1;55;0;8;False
2022-01-12;13;5;52;0;7;False
2022-01-13;19;8;60;0;11;False
2022-01-14;13;9;50;0;9;False
2022-01-15;18;2;86;0;7;False
2022-01-16;16;3;84;1;8;False
2022-01-17;17;2;59;1;7;False
2022-01-18;15;3;54;1;6;False
2022-01-19;14;3;53;0;8;False
2022-01-20;15;4;51;1;6;False
2022-01-21;12;3;59;1;4;False
2022-01-22;15;1;84;0;6;False
2022-01-23;17;2;100;0;7;False
2022-01-24;14;4;61;0;10;False
2022-01-25;15;3;47;0;5;False
2022-01-26;14;2;55;1;7;False
2022-01-27;14;3;50;0;8;False
2022-01-28;16;2;54;1;5;False
2022-01-29;17;1;85;1;6;False
2022-01-30;14;2;78;0;8;False
2022-01-31;20;4;51;0;9;False
