date;Ukraine;United Australia party;Australian politics;Craig Kelly;air travel;isPartial
2022-01-01;7;0;0;1;1;False
2022-01-02;7;0;0;0;2;False
2022-01-03;7;0;0;0;2;False
2022-01-04;7;0;0;0;1;False
2022-01-05;7;0;0;1;2;False
2022-01-06;6;0;0;0;2;False
2022-01-07;7;0;0;0;2;False
2022-01-08;6;0;0;0;2;False
2022-01-09;7;0;0;0;1;False
2022-01-10;9;0;0;0;3;False
2022-01-11;7;0;0;0;2;False
2022-01-12;10;0;0;0;2;False
2022-01-13;10;1;0;0;2;False
2022-01-14;13;0;0;0;2;False
2022-01-15;12;0;0;0;2;False
2022-01-16;14;0;0;0;2;False
2022-01-17;13;0;0;0;1;False
2022-01-18;22;0;0;0;2;False
2022-01-19;31;0;0;0;2;False
2022-01-20;35;0;0;0;1;False
2022-01-21;53;0;0;0;1;False
2022-01-22;45;0;1;0;2;False
2022-01-23;43;0;0;0;2;False
2022-01-24;100;0;0;0;3;False
2022-01-25;87;0;0;0;1;False
2022-01-26;71;0;0;0;2;False
2022-01-27;55;0;0;0;2;False
2022-01-28;54;0;0;0;1;False
2022-01-29;47;0;0;0;2;False
2022-01-30;50;0;0;0;2;False
2022-01-31;41;0;0;0;3;False
