date;crime;jason derulo;farming;food waste;air travel;isPartial
2022-01-01;70;10;30;3;3;False
2022-01-02;73;4;33;4;6;False
2022-01-03;75;4;32;4;5;False
2022-01-04;87;5;26;5;5;False
2022-01-05;82;17;26;4;7;False
2022-01-06;81;9;38;5;6;False
2022-01-07;78;5;28;4;6;False
2022-01-08;72;6;31;4;6;False
2022-01-09;85;4;30;5;5;False
2022-01-10;93;3;30;6;9;False
2022-01-11;85;4;27;4;7;False
2022-01-12;84;4;25;4;6;False
2022-01-13;93;3;29;3;9;False
2022-01-14;77;3;29;3;8;False
2022-01-15;74;3;28;3;6;False
2022-01-16;88;4;32;5;7;False
2022-01-17;87;3;33;3;6;False
2022-01-18;83;0;30;4;5;False
2022-01-19;77;1;25;3;7;False
2022-01-20;75;2;22;5;5;False
2022-01-21;75;3;26;4;3;False
2022-01-22;70;10;29;3;5;False
2022-01-23;75;4;29;4;6;False
2022-01-24;100;1;35;5;9;False
2022-01-25;84;2;27;4;4;False
2022-01-26;77;2;24;1;6;False
2022-01-27;72;2;22;4;6;False
2022-01-28;75;2;23;4;4;False
2022-01-29;67;3;27;2;5;False
2022-01-30;68;3;30;4;6;False
2022-01-31;82;2;28;4;7;False
