date;NHL;Philadelphia Flyers;Florida Panthers;Arizona Coyotes;air travel;isPartial
2022-01-01;84;0;7;0;17;False
2022-01-02;100;0;0;0;31;False
2022-01-03;54;0;0;6;26;False
2022-01-04;43;9;3;0;27;False
2022-01-05;40;0;0;0;38;False
2022-01-06;37;0;0;0;31;False
2022-01-07;62;0;0;0;32;False
2022-01-08;76;0;0;0;36;False
2022-01-09;67;0;2;0;28;False
2022-01-10;39;0;0;4;48;False
2022-01-11;43;0;0;0;39;False
2022-01-12;56;0;3;0;34;False
2022-01-13;45;0;0;0;50;False
2022-01-14;56;0;0;0;42;False
2022-01-15;58;7;0;5;33;False
2022-01-16;89;0;6;0;36;False
2022-01-17;43;3;0;0;32;False
2022-01-18;40;0;0;0;29;False
2022-01-19;54;2;5;0;37;False
2022-01-20;51;3;0;3;27;False
2022-01-21;55;10;0;0;19;False
2022-01-22;66;0;0;0;27;False
2022-01-23;72;0;3;0;34;False
2022-01-24;52;0;0;0;48;False
2022-01-25;53;0;0;6;25;False
2022-01-26;45;0;6;0;32;False
2022-01-27;41;0;0;0;36;False
2022-01-28;44;0;3;0;25;False
2022-01-29;70;0;3;0;30;False
2022-01-30;69;0;0;0;36;False
2022-01-31;40;0;0;0;41;False
