date;consumer;conservatives;christian eriksen;chris whitty;air travel;isPartial
2022-01-01;27;4;4;75;9;False
2022-01-02;36;4;3;17;16;False
2022-01-03;43;4;4;5;13;False
2022-01-04;60;0;20;28;14;False
2022-01-05;73;4;11;12;20;False
2022-01-06;71;6;4;7;16;False
2022-01-07;65;3;6;7;16;False
2022-01-08;49;4;6;6;18;False
2022-01-09;44;4;6;6;14;False
2022-01-10;91;9;6;6;25;False
2022-01-11;93;9;3;5;20;False
2022-01-12;76;13;4;6;17;False
2022-01-13;89;29;5;15;26;False
2022-01-14;68;13;4;7;21;False
2022-01-15;43;6;8;7;17;False
2022-01-16;48;10;28;6;18;False
2022-01-17;99;13;34;2;17;False
2022-01-18;80;8;23;3;15;False
2022-01-19;74;12;10;6;19;False
2022-01-20;66;8;5;9;14;False
2022-01-21;65;5;3;5;10;False
2022-01-22;47;6;6;2;14;False
2022-01-23;49;8;14;3;18;False
2022-01-24;100;7;11;3;25;False
2022-01-25;71;10;11;9;13;False
2022-01-26;74;6;10;14;16;False
2022-01-27;76;7;13;46;18;False
2022-01-28;61;9;8;11;13;False
2022-01-29;39;4;8;5;15;False
2022-01-30;37;5;13;4;18;False
2022-01-31;71;10;82;4;21;False
