date;sajid javid;bbc africa today podcast;keir starmer;dominic raab;air travel;isPartial
2022-01-01;4;0;4;1;3;False
2022-01-02;2;0;4;0;5;False
2022-01-03;1;0;3;0;4;False
2022-01-04;1;0;17;1;4;False
2022-01-05;2;0;22;2;6;False
2022-01-06;1;0;6;1;5;False
2022-01-07;8;0;4;1;5;False
2022-01-08;42;0;4;1;6;False
2022-01-09;13;0;5;0;5;False
2022-01-10;4;0;4;2;8;False
2022-01-11;3;0;10;2;7;False
2022-01-12;4;0;25;6;6;False
2022-01-13;5;0;16;5;8;False
2022-01-14;5;0;100;3;7;False
2022-01-15;5;0;82;1;5;False
2022-01-16;2;0;42;3;6;False
2022-01-17;3;0;41;2;5;False
2022-01-18;3;0;13;12;5;False
2022-01-19;8;0;22;4;6;False
2022-01-20;6;0;9;1;4;False
2022-01-21;3;0;5;2;3;False
2022-01-22;2;0;6;2;4;False
2022-01-23;4;0;5;11;6;False
2022-01-24;5;0;6;3;8;False
2022-01-25;3;0;6;2;4;False
2022-01-26;3;0;12;2;5;False
2022-01-27;2;0;7;0;6;False
2022-01-28;2;0;8;0;4;False
2022-01-29;3;0;5;1;5;False
2022-01-30;1;0;4;1;6;False
2022-01-31;11;0;30;2;7;False
