date;fire service;miami;argentina;houses of parliament;air travel;isPartial
2022-01-01;10;77;23;5;6;False
2022-01-02;11;80;26;3;11;False
2022-01-03;11;83;18;3;9;False
2022-01-04;13;66;32;3;9;False
2022-01-05;18;65;23;1;13;False
2022-01-06;16;71;28;4;11;False
2022-01-07;13;73;23;2;11;False
2022-01-08;13;73;28;4;12;False
2022-01-09;12;96;31;2;10;False
2022-01-10;14;90;31;3;17;False
2022-01-11;17;74;33;3;14;False
2022-01-12;12;69;34;4;12;False
2022-01-13;13;74;32;2;18;False
2022-01-14;8;64;21;3;15;False
2022-01-15;10;96;29;4;12;False
2022-01-16;12;92;35;6;13;False
2022-01-17;16;70;25;3;11;False
2022-01-18;17;65;21;2;10;False
2022-01-19;13;59;23;2;13;False
2022-01-20;12;61;33;4;9;False
2022-01-21;12;69;27;1;7;False
2022-01-22;9;75;100;2;9;False
2022-01-23;12;79;45;2;12;False
2022-01-24;15;83;41;0;17;False
2022-01-25;20;65;29;2;9;False
2022-01-26;12;59;29;2;11;False
2022-01-27;9;63;35;2;13;False
2022-01-28;12;74;93;2;9;False
2022-01-29;9;81;51;1;11;False
2022-01-30;11;72;33;3;13;False
2022-01-31;14;69;32;4;14;False
