date;no more red - tackling knife crime;fukushima;gatwick;storm malik;air travel;isPartial
2022-01-01;0;0;32;0;2;False
2022-01-02;0;1;42;0;4;False
2022-01-03;0;0;43;0;4;False
2022-01-04;0;0;43;0;4;False
2022-01-05;0;0;36;0;5;False
2022-01-06;0;0;36;0;4;False
2022-01-07;0;0;35;0;4;False
2022-01-08;0;0;41;0;4;False
2022-01-09;0;1;45;0;3;False
2022-01-10;0;1;38;1;5;False
2022-01-11;0;1;39;0;4;False
2022-01-12;0;0;36;0;5;False
2022-01-13;0;0;35;0;5;False
2022-01-14;0;0;35;0;5;False
2022-01-15;0;1;42;0;4;False
2022-01-16;0;0;49;0;5;False
2022-01-17;0;0;42;0;4;False
2022-01-18;0;0;37;0;4;False
2022-01-19;0;1;33;0;5;False
2022-01-20;0;1;33;0;2;False
2022-01-21;0;0;33;0;2;False
2022-01-22;0;0;37;0;4;False
2022-01-23;0;1;44;0;5;False
2022-01-24;0;1;45;0;5;False
2022-01-25;0;1;34;0;3;False
2022-01-26;0;1;35;0;4;False
2022-01-27;0;1;31;0;3;False
2022-01-28;0;1;38;28;3;False
2022-01-29;0;0;41;100;3;False
2022-01-30;0;1;49;29;4;False
2022-01-31;0;1;47;12;5;False
