date;The National Trust;UK job furlough scheme;South China Sea;Plane crashes;air travel;isPartial
2022-01-01;39;0;0;0;33;False
2022-01-02;34;0;0;10;65;False
2022-01-03;41;0;0;0;55;False
2022-01-04;21;0;12;0;49;False
2022-01-05;37;0;0;0;82;False
2022-01-06;31;0;12;7;66;False
2022-01-07;33;0;4;0;64;False
2022-01-08;19;0;7;10;63;False
2022-01-09;33;0;5;11;38;False
2022-01-10;35;0;9;12;100;False
2022-01-11;22;0;0;15;68;False
2022-01-12;24;0;0;12;69;False
2022-01-13;37;0;0;0;81;False
2022-01-14;27;0;7;6;78;False
2022-01-15;46;0;7;31;76;False
2022-01-16;39;0;11;0;84;False
2022-01-17;37;0;0;0;50;False
2022-01-18;40;0;0;0;66;False
2022-01-19;19;0;0;9;74;False
2022-01-20;25;0;7;8;48;False
2022-01-21;45;0;0;0;37;False
2022-01-22;40;0;6;5;54;False
2022-01-23;34;0;0;9;67;False
2022-01-24;31;0;9;14;85;False
2022-01-25;27;0;5;11;50;False
2022-01-26;36;0;13;0;65;False
2022-01-27;16;0;0;0;56;False
2022-01-28;39;0;15;7;47;False
2022-01-29;66;0;9;6;60;False
2022-01-30;48;0;22;17;75;False
2022-01-31;50;0;7;0;89;False
