date;halyna hutchins;sir keir starmer;highway code;tsunami;air travel;isPartial
2022-01-01;0;0;4;3;1;False
2022-01-02;0;0;4;4;2;False
2022-01-03;0;0;3;2;2;False
2022-01-04;0;1;6;4;2;False
2022-01-05;0;1;5;3;3;False
2022-01-06;0;0;3;3;3;False
2022-01-07;0;0;4;3;3;False
2022-01-08;0;0;3;3;3;False
2022-01-09;0;1;3;3;2;False
2022-01-10;0;0;5;4;3;False
2022-01-11;0;1;4;4;3;False
2022-01-12;0;1;3;3;3;False
2022-01-13;0;1;4;4;3;False
2022-01-14;0;23;5;3;3;False
2022-01-15;0;4;6;100;3;False
2022-01-16;0;0;5;66;3;False
2022-01-17;0;3;5;36;2;False
2022-01-18;0;1;4;22;2;False
2022-01-19;0;1;5;8;3;False
2022-01-20;0;0;23;11;1;False
2022-01-21;0;1;17;6;1;False
2022-01-22;0;0;40;6;3;False
2022-01-23;0;0;21;7;3;False
2022-01-24;0;0;47;6;3;False
2022-01-25;1;1;32;5;2;False
2022-01-26;0;0;28;4;3;False
2022-01-27;0;0;16;3;2;False
2022-01-28;0;0;26;4;2;False
2022-01-29;0;1;77;4;2;False
2022-01-30;0;0;41;5;3;False
2022-01-31;0;1;21;3;3;False
