date;University of Edinburgh;University of Stirling;University of Suffolk;Fantasy books;air travel;isPartial
2022-01-01;31;7;0;28;34;False
2022-01-02;44;9;14;27;63;False
2022-01-03;46;0;0;26;51;False
2022-01-04;39;0;16;19;54;False
2022-01-05;89;13;5;23;77;False
2022-01-06;50;7;7;8;61;False
2022-01-07;53;9;10;21;63;False
2022-01-08;24;22;8;24;71;False
2022-01-09;53;19;6;32;55;False
2022-01-10;93;29;8;9;97;False
2022-01-11;70;14;4;20;79;False
2022-01-12;75;0;8;19;67;False
2022-01-13;78;24;13;17;100;False
2022-01-14;58;5;12;20;84;False
2022-01-15;47;8;0;11;66;False
2022-01-16;45;16;0;17;72;False
2022-01-17;86;9;11;8;65;False
2022-01-18;72;16;13;0;59;False
2022-01-19;64;0;6;0;74;False
2022-01-20;77;20;0;17;54;False
2022-01-21;59;6;11;9;38;False
2022-01-22;41;21;6;0;53;False
2022-01-23;42;7;8;14;69;False
2022-01-24;90;20;5;10;97;False
2022-01-25;71;12;17;6;49;False
2022-01-26;81;14;7;28;64;False
2022-01-27;55;14;16;15;71;False
2022-01-28;52;12;5;21;49;False
2022-01-29;34;9;0;18;60;False
2022-01-30;34;5;6;16;71;False
2022-01-31;59;29;9;0;82;False
