date;fgm;arlo parks;house of parliament;hillsborough;air travel;isPartial
2022-01-01;1;0;0;12;2;False
2022-01-02;1;0;1;89;3;False
2022-01-03;1;1;0;100;3;False
2022-01-04;1;1;1;100;3;False
2022-01-05;2;0;1;94;4;False
2022-01-06;2;0;0;75;3;False
2022-01-07;1;1;1;53;4;False
2022-01-08;1;0;1;40;4;False
2022-01-09;1;0;0;41;3;False
2022-01-10;1;1;1;32;4;False
2022-01-11;2;1;1;27;4;False
2022-01-12;2;0;2;17;4;False
2022-01-13;2;0;1;17;4;False
2022-01-14;1;0;1;12;4;False
2022-01-15;1;0;0;16;4;False
2022-01-16;2;0;0;17;4;False
2022-01-17;1;0;0;12;3;False
2022-01-18;1;0;1;11;3;False
2022-01-19;1;0;1;8;4;False
2022-01-20;1;0;1;8;2;False
2022-01-21;1;1;1;9;1;False
2022-01-22;1;0;0;10;3;False
2022-01-23;1;0;1;10;4;False
2022-01-24;4;1;1;9;4;False
2022-01-25;3;0;1;7;2;False
2022-01-26;1;0;1;8;3;False
2022-01-27;1;0;1;6;3;False
2022-01-28;2;0;1;8;2;False
2022-01-29;2;0;0;10;3;False
2022-01-30;1;0;1;8;3;False
2022-01-31;2;0;2;7;4;False
