date;Technology;Republicans;Employment tribunals;Gender pay gap;air travel;isPartial
2022-01-01;34;3;0;1;4;False
2022-01-02;48;0;0;1;8;False
2022-01-03;50;1;0;2;7;False
2022-01-04;81;0;0;1;6;False
2022-01-05;84;1;1;1;10;False
2022-01-06;76;3;1;2;8;False
2022-01-07;77;1;1;2;8;False
2022-01-08;43;2;0;1;8;False
2022-01-09;56;1;0;1;5;False
2022-01-10;91;1;0;2;12;False
2022-01-11;87;0;0;0;8;False
2022-01-12;89;1;2;2;8;False
2022-01-13;96;2;1;2;10;False
2022-01-14;67;0;0;2;10;False
2022-01-15;42;0;0;1;9;False
2022-01-16;54;0;0;2;10;False
2022-01-17;79;1;0;2;6;False
2022-01-18;91;3;0;2;8;False
2022-01-19;86;0;0;1;9;False
2022-01-20;74;1;0;2;6;False
2022-01-21;73;0;0;1;5;False
2022-01-22;43;0;0;0;7;False
2022-01-23;54;2;0;1;8;False
2022-01-24;100;0;0;4;10;False
2022-01-25;91;0;0;2;6;False
2022-01-26;90;1;0;3;8;False
2022-01-27;83;1;1;2;7;False
2022-01-28;74;0;1;2;6;False
2022-01-29;40;1;0;0;7;False
2022-01-30;46;1;0;1;9;False
2022-01-31;78;1;0;2;11;False
