date;Francois Truffaut;Spring;Seattle Seahawks;Cleveland Browns;air travel;isPartial
2022-01-01;0;62;1;1;3;False
2022-01-02;0;70;0;2;5;False
2022-01-03;0;80;1;2;4;False
2022-01-04;0;82;0;3;4;False
2022-01-05;0;82;0;1;6;False
2022-01-06;0;76;0;1;5;False
2022-01-07;0;72;1;2;5;False
2022-01-08;0;71;0;0;6;False
2022-01-09;0;77;2;2;4;False
2022-01-10;0;89;1;0;7;False
2022-01-11;0;89;1;0;6;False
2022-01-12;0;76;1;1;5;False
2022-01-13;0;89;1;0;8;False
2022-01-14;0;84;1;0;6;False
2022-01-15;0;85;1;0;5;False
2022-01-16;0;87;1;1;6;False
2022-01-17;0;94;1;1;5;False
2022-01-18;0;76;1;0;5;False
2022-01-19;0;79;0;1;6;False
2022-01-20;1;80;0;0;4;False
2022-01-21;0;78;1;0;3;False
2022-01-22;0;80;1;1;4;False
2022-01-23;0;88;2;0;5;False
2022-01-24;0;100;1;0;8;False
2022-01-25;0;85;0;1;4;False
2022-01-26;0;86;1;0;5;False
2022-01-27;0;85;0;0;6;False
2022-01-28;0;88;1;0;4;False
2022-01-29;0;83;0;0;5;False
2022-01-30;0;90;1;0;6;False
2022-01-31;0;96;0;0;6;False
