date;Chris Silverwood;Quebec;US interest rates;Jos Buttler;air travel;isPartial
2022-01-01;8;40;0;9;34;False
2022-01-02;0;33;0;15;63;False
2022-01-03;9;31;6;7;51;False
2022-01-04;0;57;0;10;54;False
2022-01-05;0;44;19;0;77;False
2022-01-06;0;59;5;0;61;False
2022-01-07;0;48;0;38;63;False
2022-01-08;0;32;0;37;71;False
2022-01-09;0;46;0;84;55;False
2022-01-10;0;37;0;6;97;False
2022-01-11;5;50;6;10;79;False
2022-01-12;0;84;0;0;67;False
2022-01-13;0;44;5;0;100;False
2022-01-14;0;35;0;0;84;False
2022-01-15;0;35;14;9;66;False
2022-01-16;10;48;0;0;72;False
2022-01-17;23;25;5;7;65;False
2022-01-18;6;49;0;0;59;False
2022-01-19;0;29;7;0;74;False
2022-01-20;0;47;10;0;54;False
2022-01-21;0;34;0;0;38;False
2022-01-22;6;52;0;0;53;False
2022-01-23;7;41;10;0;69;False
2022-01-24;5;51;11;0;97;False
2022-01-25;6;48;6;0;49;False
2022-01-26;0;55;24;10;64;False
2022-01-27;0;41;0;0;71;False
2022-01-28;0;40;0;0;49;False
2022-01-29;7;44;0;0;60;False
2022-01-30;0;41;0;7;71;False
2022-01-31;0;57;0;0;82;False
